,RUT_ENMASCARADO,PERS_SEXO,EDAD,CODUA,ANNIO_INGRESO,RAMA_EDUCACIONAL,PROVINCIA_ESTAB_EDUC,BEA,GRUPO_DEPENDENCIA,ANNIO_EGRESO_E_MEDIA,PROM_NOTAS_E_MEDIA,PUNTAJE_NEM,PUNTAJE_RANKING,PTJE_LENGUAJE,PTJE_MATEMATICA,PTJE_HIST_CS_SOCIALES,PTJE_CIENCIAS,PROM_LENG_Y_MAT,PTJE_PONDERADO,SITUACION_EGRESO_EDUCACIONAL,INGRESO_BRUTO_FAMILIAR,PROMEDIO_PRIMER_ANNIO,PROMEDIO_ALUMNO_EN_CARRERA,CANT_RAMOS_INSCRITOS_CARRERA,CANT_RAMOS_APROBADOS_CARRERA,CANT_RAMOS_PLAN_CARRERA,PORCENTAJE_AVANCE_CARRERA,CANT_RAMOS_OP2,CANT_RAMOS_OP3,CANT_RAMOS_OP4,DESERTA
345,19501270,F,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,2.58,4.15,49,36,56,64.29,4,1,0,0
350,19501280,M,Edad 24-26,Enfermeria,2018,H1,EL LOA,SIN BEA,Particular Subvencionado,Egreso media 2012-2014,6.3,699.0,768.0,702.0,653.0,522.7393162393163,674.0,677.5,599.0808080808081,Prom.Ant: Nac–alumno regular,9.0,5.52,5.67,18,18,56,32.14,0,0,0,1
354,19501398,M,Edad 24-26,Ingeco,2021,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,6.4,721.0,735.0,609.0,586.0,603.0,595.0,597.5,666.0,Prom.Ant: Nac–alumno regular,6.0,3.7,3.7,11,6,56,10.71,0,0,0,0
355,19501449,F,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,5.0,462.0,466.0,456.0,519.0,519.0,309.0,487.0,599.0808080808081,Prom.Ant: Nac–alumno regular,4.0,3.82,2.7,26,11,56,19.64,3,0,0,1
360,19501569,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2012-2014,5.15,445.0,445.0,502.0,602.0,522.7393162393163,406.0,552.0,478.0,Prom.Ant: Nac–alumno regular,10.0,4.88,4.83,47,44,56,78.57,3,0,0,0
365,19501603,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,3.2,2.29,20,5,56,8.93,0,0,0,1
370,19501610,M,Edad 17-23,Ingeco,2020,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,2.58,2.58,4,1,56,1.79,0,0,0,1
372,19513920,F,Edad 24-26,Ingeco,2017,T1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2012-2014,6.2,662.0,706.0,458.0,494.0,522.7393162393163,422.0,476.0,570.0,Prom.Ant: Nac–alumno regular,3.0,1.0,1.0,3,0,56,62.772061068702286,0,0,0,1
377,19518775,F,Edad 31-34,Enfermeria,2021,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,6.08,6.08,12,12,56,21.43,0,0,0,0
378,19519028,F,Edad 24-26,Enfermeria,2018,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,6.15,651.0,672.0,684.0,527.0,522.7393162393163,611.0,605.5,633.0,Prom.Ant: Nac–alumno regular,6.0,4.95,4.0,32,31,56,55.36,1,0,0,0
382,19519105,M,Edad 24-26,Enfermeria,2017,H1,EL LOA,SIN BEA,Particular Pagado,Egreso media 2015-2020,6.28,678.0,805.0,579.0,606.0,522.7393162393163,602.0,592.5,661.0,Prom.Ant: Nac–alumno regular,10.0,5.85,5.97,54,54,56,96.43,1,0,0,0
387,19519328,F,Edad 24-26,Enfermeria,2017,H1,EL LOA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.98,616.0,667.0,603.0,583.0,522.7393162393163,630.0,593.0,618.0,Prom.Ant: Nac–alumno regular,10.0,5.39,5.87,51,51,56,91.07,0,0,0,0
392,19519348,F,Edad 24-26,Enfermeria,2017,H1,EL LOA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.63,544.0,550.0,579.0,504.0,522.7393162393163,497.0,541.5,539.0,Prom.Ant: Nac–alumno regular,6.0,5.05,5.78,56,55,56,98.21,1,0,0,0
397,19519358,F,Edad 24-26,Ingeco,2019,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,5.06,4.93,29,25,56,44.64,1,0,0,0
400,19551925,M,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2015-2020,5.23,461.0,461.0,579.0,664.0,518.0,546.0,621.5,529.0,Prom.Año: Nac–alumno regular,7.0,5.44,3.72,39,34,56,60.71,0,0,0,0
404,19552868,F,Edad 24-26,Ingeco,2020,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.21,4.19,22,18,56,32.14,25,3,0,0
406,19585440,M,Edad 24-26,Ingeco,2019,H2,EL LOA,SIN BEA,Municipal,Egreso media 2015-2020,5.5,521.0,534.0,489.0,507.0,475.0,529.039387308534,498.0,511.0,Prom.Año: Nac–alumno regular,5.0,3.94,3.94,11,7,56,12.5,1,0,0,1
409,19607234,M,Edad 24-26,Ingeco,2017,T2,EL LOA,SIN BEA,Municipal,Egreso media 2012-2014,5.48,515.0,515.0,586.0,556.0,552.0,561.0,571.0,543.0,Prom.Ant: Nac–alumno regular,6.0,4.48,3.74,20,10,56,17.86,2,0,0,1
414,19607342,F,Edad 24-26,Enfermeria,2017,H1,EL LOA,SIN BEA,Particular Subvencionado,Egreso media 2012-2014,6.15,651.0,691.0,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,615.0,Prom.Ant: Nac–alumno regular,6.0,5.65,6.2,53,53,56,94.64,0,0,0,0
419,19607355,F,Edad 27-30,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.83,4.05,44,31,56,55.36,5,1,0,0
424,19607703,F,Edad 24-26,Enfermeria,2017,H1,EL LOA,SIN BEA,Municipal,Egreso media 2015-2020,6.23,667.0,702.0,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,641.0,Prom.Ant: Nac–alumno regular,12.0,6.08,6.21,55,55,56,98.21,1,0,0,0
429,19607730,M,Edad 24-26,Enfermeria,2018,H1,EL LOA,SIN BEA,Municipal,Egreso media 2015-2020,5.88,595.0,614.0,571.0,616.0,522.7393162393163,626.0,593.5,599.0808080808081,Prom.Ant: Nac–alumno regular,11.0,5.84,6.22,40,40,56,71.43,0,0,0,0
433,19607859,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.31,4.98,53,50,56,89.29,0,0,0,0
438,19615086,F,Edad 24-26,Enfermeria,2019,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,5.9,6.13,35,35,56,62.5,0,0,0,0
441,19616178,M,Edad 24-26,Ingeco,2017,H2,OTRA PROVINCIA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.6,541.0,577.0,427.0,578.0,518.0,480.0,502.5,522.0,Prom.Ant: Nac–alumno regular,3.0,5.34,5.34,10,10,56,17.86,0,0,0,1
446,19672258,M,Edad 24-26,Ingeco,2018,H2,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2015-2020,5.53,527.0,545.0,510.0,544.0,491.0,392.0,527.0,528.0,Prom.Año: Nac–alumno regular,2.0,4.14,4.24,47,37,56,66.07,6,0,0,0
450,19719305,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.43,502.0,513.0,630.0,625.0,522.7393162393163,648.0,627.5,599.0808080808081,Prom.Ant: Nac–alumno regular,7.0,5.94,5.94,12,12,56,21.43,0,0,0,1
455,19722848,F,Edad 24-26,Ingeco,2017,H1,OTRA PROVINCIA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.65,548.0,548.0,508.0,550.0,447.0,497.0,529.0,535.0,Prom.Ant: Nac–alumno regular,2.0,4.72,5.01,55,53,56,94.64,1,0,0,0
460,19746053,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.6,538.0,548.0,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,536.0,Prom.Ant: Nac–alumno regular,3.0,4.77,4.44,59,45,56,80.36,5,2,1,0
465,19746103,F,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.48,513.0,513.0,612.0,562.0,522.7393162393163,512.0,587.0,542.0,Prom.Ant: Nac–alumno regular,4.0,4.17,4.06,17,13,56,23.21,0,0,0,1
470,19746156,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.962957516339872,5.83,32,31,56,55.36,8,0,0,0
475,19746928,M,Edad 24-26,Ingeco,2017,T2,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2012-2014,4.8,376.0,376.0,494.0,514.0,485.0,529.039387308534,504.0,437.0,Prom.Ant: Nac–alumno regular,7.0,4.38,4.04,61,46,56,82.14,9,1,0,0
480,19747350,F,Edad 24-26,Enfermeria,2019,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.5,523.0,523.0,539.0,524.0,522.7393162393163,521.0,531.5,526.0,Prom.Ant: Nac–alumno regular,8.0,5.29,5.72,34,34,56,60.71,0,0,0,0
483,19747603,M,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,3.76,3.34,17,9,56,16.07,2,0,0,1
487,19747950,M,Edad 24-26,Ingeco,2018,H2,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,5.57,535.0,565.0,530.0,544.0,496.0,537.0,537.0,547.0,Prom.Ant: Nac–alumno regular,5.0,3.85,4.25,41,30,56,53.57,3,0,1,0
491,19748103,F,Edad 17-23,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.64,5.06,48,45,56,80.36,0,1,0,0
495,19748456,M,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.962957516339872,2.04,10,7,56,12.5,0,0,0,1
499,19748555,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,6.0,620.0,668.0,672.0,583.0,573.0,597.0,627.5,630.0,Prom.Ant: Nac–alumno regular,4.0,5.74,6.11,53,53,56,94.64,1,0,0,0
504,19748652,M,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.89,3.96,32,22,56,39.29,3,2,0,0
508,19749119,M,Edad 24-26,Enfermeria,2018,T2,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,6.35,693.0,752.0,573.0,551.0,522.7393162393163,551.0,562.0,638.0,Prom.Ant: Nac–alumno regular,1.0,4.85,4.42,40,28,56,50.0,6,0,0,0
512,19749431,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,5.5,517.0,517.0,571.0,494.0,522.7393162393163,524.0,532.5,599.0808080808081,Prom.Año: Nac–alumno regular,3.0,4.47,4.03,55,39,56,69.64,6,3,0,0
517,19765480,F,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2015-2020,5.13,441.0,441.0,534.0,562.0,522.7393162393163,462.0,548.0,484.0,Prom.Ant: Nac–alumno regular,3.0,4.52,4.78,54,51,56,91.07,2,0,0,0
522,19765989,F,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.78,575.0,575.0,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,551.0,Prom.Ant: Nac–alumno regular,8.0,4.78,5.0,52,52,56,92.86,0,0,0,0
527,19766132,F,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.4,496.0,496.0,556.0,537.0,460.0,497.0,546.5,517.0,Prom.Año: Nac–alumno regular,2.0,4.37,4.31,49,40,56,71.43,3,1,0,0
532,19766136,F,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.88,5.01,47,46,56,82.14,1,0,0,0
536,19766187,F,Edad 24-26,Ingeco,2017,T1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,5.77,574.0,660.0,458.0,494.0,407.0,529.039387308534,476.0,533.0,Prom.Año: Nac–alumno regular,2.0,4.32,4.54,63,54,56,96.43,4,0,0,0
541,19766228,F,Edad 24-26,Enfermeria,2021,H1,OTRA PROVINCIA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,6.3,706.0,751.0,622.0,550.0,580.0,545.0,586.0,659.0,Prom.Ant: Nac–alumno regular,6.0,5.74,5.74,12,12,56,21.43,0,0,0,0
542,19766283,M,Edad 24-26,Enfermeria,2018,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,6.18,657.0,687.0,580.0,596.0,522.7393162393163,586.0,588.0,628.0,Prom.Ant: Nac–alumno regular,9.0,4.32,5.15,42,34,56,60.71,6,1,0,0
546,19766382,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2015-2020,6.45,713.0,813.0,639.0,673.0,522.7393162393163,656.0,656.0,704.0,Prom.Ant: Nac–alumno regular,9.0,5.81,6.21,55,55,56,98.21,0,0,0,0
551,19766532,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,6.6,744.0,771.0,595.0,572.0,522.7393162393163,529.0,583.5,663.0,Prom.Ant: Nac–alumno regular,8.0,5.08,5.63,58,55,56,98.21,0,1,0,0
556,19766622,M,Edad 17-23,Ingeco,2019,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.15,4.88,35,33,56,58.93,11,0,0,0
559,19766829,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,6.35,692.0,748.0,534.0,597.0,522.7393162393163,582.0,565.5,641.0,Prom.Ant: Nac–alumno regular,7.0,5.48,6.01,55,55,56,98.21,0,0,0,0
564,19766841,M,Edad 24-26,Ingeco,2018,H2,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2015-2020,5.53,527.0,553.0,534.0,587.0,522.7393162393163,512.0,560.5,551.0,Prom.Ant: Nac–alumno regular,9.0,5.06,5.04,48,43,56,76.79,4,0,0,0
568,19767116,M,Edad 24-26,Ingeco,2019,H1,OTRA PROVINCIA,SIN BEA,Municipal,Egreso media 2015-2020,5.05,425.0,425.0,405.0,448.0,483.0,529.039387308534,426.5,448.0,Prom.Ant: Nac–alumno regular,5.0,4.86,4.71,33,28,56,50.0,1,0,0,0
571,19767149,M,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,3.77,4.26,45,34,56,60.71,3,0,1,0
575,19767237,M,Edad 24-26,Ingeco,2019,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.0,416.0,420.0,539.0,579.0,522.7393162393163,552.0,559.0,486.0,Prom.Ant: Nac–alumno regular,10.0,1.03,1.02,11,0,56,47.51147540983606,5,0,0,1
578,19767373,F,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,5.75,569.0,580.0,451.0,504.0,433.0,529.039387308534,477.5,518.0,Prom.Ant: Nac–alumno regular,4.0,4.27,3.13,19,9,56,16.07,2,0,0,1
583,19767429,F,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,5.6,538.0,538.0,465.0,504.0,292.0,450.0,484.5,599.0808080808081,Prom.Ant: Nac–alumno regular,5.0,4.962957516339872,5.61,34,34,56,60.71,10,0,0,0
588,19768131,F,Edad 24-26,Enfermeria,2017,H1,OTRA PROVINCIA,BEA,Municipal,Egreso media 2015-2020,6.68,760.0,823.0,508.0,454.0,477.0,535.0,481.0,638.0,Prom.Año: Nac–alumno regular,2.0,5.41,5.85,55,55,56,98.21,0,0,0,0
593,19790576,F,Edad 24-26,Enfermeria,2017,H1,OTRA PROVINCIA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,6.25,672.0,686.0,558.0,601.0,522.7393162393163,545.0,579.5,601.0,Prom.Ant: Nac–alumno regular,9.0,4.962957516339872,6.3,31,31,56,55.36,8,0,0,0
598,19791183,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2015-2020,5.25,466.0,468.0,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,507.0,Prom.Ant: Nac–alumno regular,12.0,4.51,4.51,9,8,56,14.29,0,0,0,1
603,19791747,F,Edad 24-26,Ingeco,2017,H1,OTRA PROVINCIA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.4,496.0,496.0,502.0,514.0,477.0,529.039387308534,508.0,498.0,Prom.Ant: Nac–alumno regular,8.0,4.58,4.05,53,37,56,66.07,4,1,1,0
608,19793396,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,5.9,599.0,801.0,410.0,482.0,522.7393162393163,312.0,446.0,599.0808080808081,Prom.Año: Nac–alumno regular,3.0,2.6,2.6,1,0,56,47.51147540983606,0,0,0,1
613,19793825,F,Edad 24-26,Enfermeria,2017,H1,EL LOA,SIN BEA,Municipal,Egreso media 2015-2020,6.45,713.0,769.0,672.0,647.0,522.7393162393163,660.0,659.5,697.0,Prom.Ant: Nac–alumno regular,10.0,5.97,6.15,55,55,56,98.21,0,0,0,0
618,19875963,F,Edad 24-26,Enfermeria,2017,H1,EL LOA,SIN BEA,Particular Pagado,Egreso media 2015-2020,6.13,647.0,655.0,620.0,606.0,522.7393162393163,578.0,613.0,628.0,Prom.Año: Nac–alumno regular,9.0,5.45,5.81,55,55,56,98.21,0,0,0,0
623,19878134,F,Edad 24-26,Ingeco,2017,H1,TOCOPILLA,SIN BEA,Municipal,Egreso media 2015-2020,6.03,626.0,691.0,393.0,382.0,210.0,529.039387308534,387.5,599.0808080808081,Prom.Año: Nac–alumno regular,1.0,5.24,5.23,54,53,56,94.64,1,0,0,0
628,19880905,F,Edad 24-26,Ingeco,2017,H1,EL LOA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.33,482.0,482.0,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,543.0,Prom.Ant: Nac–alumno regular,4.0,3.82,3.22,20,11,56,19.64,1,0,0,1
633,19881067,F,Edad 24-26,Enfermeria,2017,H1,EL LOA,SIN BEA,Municipal,Egreso media 2015-2020,5.53,523.0,523.0,487.0,562.0,522.7393162393163,524.0,524.5,523.0,Prom.Año: Nac–alumno regular,2.0,1.4,4.69,39,36,56,64.29,2,0,0,0
638,19881457,M,Edad 24-26,Ingeco,2018,H1,EL LOA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.23,461.0,461.0,517.0,564.0,536.0,506.0,540.5,497.0,Prom.Año: Nac–alumno regular,10.0,4.79,4.96,50,49,56,87.5,0,0,0,0
642,19884429,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,6.33,688.0,730.0,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,643.0,Prom.Ant: Nac–alumno regular,12.0,5.76,6.08,51,51,56,91.07,0,0,0,0
647,19884727,F,Edad 24-26,Enfermeria,2017,H1,OTRA PROVINCIA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,6.03,626.0,658.0,697.0,572.0,522.7393162393163,656.0,634.5,599.0808080808081,Prom.Ant: Nac–alumno regular,10.0,5.3,5.86,57,55,56,98.21,2,0,0,0
652,19922659,F,Edad 24-26,Ingeco,2018,H1,EL LOA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.73,564.0,564.0,510.0,448.0,517.0,529.039387308534,479.0,528.0,Prom.Ant: Nac–alumno regular,4.0,3.85,4.4,41,32,56,57.14,4,1,0,0
656,19922758,M,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.2,449.0,455.0,562.0,454.0,576.0,529.039387308534,508.0,493.0,Prom.Ant: Nac–alumno regular,6.0,4.4,4.72,47,45,56,80.36,2,0,0,0
660,19922863,F,Edad 24-26,Enfermeria,2017,H1,EL LOA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,6.08,637.0,701.0,579.0,606.0,522.7393162393163,597.0,592.5,628.0,Prom.Año: Nac–alumno regular,7.0,5.55,5.9,55,55,56,98.21,0,0,0,0
665,19923029,M,Edad 24-26,Enfermeria,2017,H1,EL LOA,SIN BEA,Particular Pagado,Egreso media 2015-2020,6.35,692.0,708.0,603.0,669.0,522.7393162393163,648.0,636.0,668.0,Prom.Año: Nac–alumno regular,6.0,5.44,5.86,55,55,56,98.21,1,0,0,0
670,19923129,F,Edad 24-26,Enfermeria,2017,H1,EL LOA,SIN BEA,Particular Pagado,Egreso media 2015-2020,6.53,729.0,850.0,630.0,638.0,522.7393162393163,630.0,634.0,705.0,Prom.Año: Nac–alumno regular,10.0,5.55,6.15,55,55,56,98.21,1,0,0,0
675,19923147,F,Edad 24-26,Enfermeria,2017,H1,EL LOA,SIN BEA,Municipal,Egreso media 2015-2020,5.88,595.0,614.0,563.0,602.0,522.7393162393163,565.0,582.5,590.0,Prom.Año: Nac–alumno regular,8.0,5.36,5.72,55,55,56,98.21,0,0,0,0
680,19927634,F,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.18,451.0,451.0,588.0,570.0,466.0,529.039387308534,579.0,504.0,Prom.Año: Nac–alumno regular,9.0,4.44,4.6,15,13,56,23.21,1,0,0,1
684,19927994,M,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.6,538.0,538.0,530.0,507.0,510.0,257.0,518.5,528.0,Prom.Ant: Nac–alumno regular,4.0,5.11,4.77,54,48,56,85.71,2,0,0,0
688,19928562,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.05,425.0,425.0,549.0,620.0,530.0,529.039387308534,584.5,495.0,Prom.Ant: Nac–alumno regular,10.0,5.19,4.66,54,46,56,82.14,5,1,0,0
693,19951512,M,Edad 24-26,Ingeco,2019,H2,OTRA PROVINCIA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.2,460.0,474.0,393.0,439.0,522.7393162393163,505.0,416.0,599.0808080808081,Prom.Año: Nac–alumno regular,3.0,4.9,4.39,27,20,56,35.71,1,0,0,0
696,19967045,F,Edad 24-26,Enfermeria,2018,H1,OTRA PROVINCIA,SIN BEA,Particular Pagado,Egreso media 2015-2020,6.38,698.0,736.0,628.0,698.0,522.7393162393163,704.0,663.0,692.0,Prom.Ant: Nac–alumno regular,10.0,5.46,5.98,44,43,56,76.79,0,0,0,0
700,19971525,M,Edad 24-26,Ingeco,2019,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,5.1,448.0,451.0,539.0,465.0,522.7393162393163,501.0,502.0,479.0,Prom.Ant: Nac–alumno regular,2.0,2.97,2.97,10,3,56,5.36,1,0,0,1
703,19983829,M,Edad 24-26,Ingeco,2017,T1,EL LOA,SIN BEA,Municipal,Egreso media 2015-2020,6.25,672.0,778.0,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,607.0,Prom.Ant: Nac–alumno regular,5.0,5.7,5.77,56,56,56,100.0,0,0,0,0
708,19983830,M,Edad 24-26,Ingeco,2017,T1,EL LOA,SIN BEA,Municipal,Egreso media 2015-2020,5.28,474.0,496.0,292.0,439.0,243.0,288.0,365.5,599.0808080808081,Prom.Año: Nac–alumno regular,3.0,4.962957516339872,5.82,35,35,56,62.5,10,0,0,0
713,19983941,F,Edad 24-26,Enfermeria,2017,H1,EL LOA,SIN BEA,Particular Pagado,Egreso media 2015-2020,6.55,734.0,756.0,744.0,703.0,570.0,674.0,723.5,707.0,Prom.Ant: Nac–alumno regular,10.0,5.8,5.8,6,6,56,10.71,0,0,0,1
